layer,accuracy
0,0.6129032258064516
1,0.8279569892473119
2,0.8817204301075269
3,0.8817204301075269
4,0.9247311827956989
5,0.9032258064516129
6,0.8924731182795699
7,0.9247311827956989
8,0.9354838709677419
9,0.956989247311828
10,0.9247311827956989
11,0.9032258064516129
12,0.8924731182795699
13,0.8924731182795699
14,0.8709677419354839
15,0.8387096774193549
16,0.8387096774193549
17,0.8064516129032258
18,0.8064516129032258
19,0.8387096774193549
20,0.7956989247311828
21,0.8387096774193549
22,0.7956989247311828
23,0.7741935483870968
