layer,accuracy
0,0.8172043010752689
1,0.8387096774193549
2,0.8924731182795699
3,0.8494623655913979
4,0.8494623655913979
5,0.8924731182795699
6,0.9354838709677419
7,0.9139784946236559
8,0.9032258064516129
9,0.9139784946236559
10,0.9139784946236559
11,0.8817204301075269
12,0.9032258064516129
13,0.8817204301075269
14,0.946236559139785
15,0.9247311827956989
16,0.9247311827956989
17,0.946236559139785
18,0.9139784946236559
19,0.9139784946236559
20,0.8279569892473119
21,0.7419354838709677
22,0.3763440860215054
23,0.3118279569892473
