,path,feat_path,name,emotion,strength,session
0,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Fort/03-D-2-2.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Fort/03-D-2-2.pt,03-D-2-2.aiff,disgust,Fort,1
1,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/01-N-3.aiff,/home/wawa_/data/wav2vecbase/Neutre/01-N-3.pt,01-N-3.aiff,neutral,Fort,1
2,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/02-T-2-6.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/02-T-2-6.pt,02-T-2-6.aiff,sad,Fort,1
3,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/12-P-1-4.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/12-P-1-4.pt,12-P-1-4.aiff,fear,Faible,1
4,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/08-S-2-6.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/08-S-2-6.pt,08-S-2-6.aiff,surprise,Fort,1
5,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Fort/09-T-2-5.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Fort/09-T-2-5.pt,09-T-2-5.aiff,sad,Fort,1
6,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/03-S-1-4.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/03-S-1-4.pt,03-S-1-4.aiff,surprise,Faible,1
7,/home/wawa_/CaFE/High resolution (192kHz)/Joie/Faible/04-J-1-5.aiff,/home/wawa_/data/wav2vecbase/Joie/Faible/04-J-1-5.pt,04-J-1-5.aiff,happy,Faible,1
8,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Faible/12-S-1-4.aiff,/home/wawa_/data/wav2vecbase/Surprise/Faible/12-S-1-4.pt,12-S-1-4.aiff,surprise,Faible,1
9,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Fort/11-P-2-2.aiff,/home/wawa_/data/wav2vecbase/Peur/Fort/11-P-2-2.pt,11-P-2-2.aiff,fear,Fort,1
10,/home/wawa_/CaFE/High resolution (192kHz)/Surprise/Fort/12-S-2-3.aiff,/home/wawa_/data/wav2vecbase/Surprise/Fort/12-S-2-3.pt,12-S-2-3.aiff,surprise,Fort,1
11,/home/wawa_/CaFE/High resolution (192kHz)/Tristesse/Faible/07-T-1-6.aiff,/home/wawa_/data/wav2vecbase/Tristesse/Faible/07-T-1-6.pt,07-T-1-6.aiff,sad,Faible,1
12,/home/wawa_/CaFE/High resolution (192kHz)/Neutre/05-N-5.aiff,/home/wawa_/data/wav2vecbase/Neutre/05-N-5.pt,05-N-5.aiff,neutral,Fort,1
13,/home/wawa_/CaFE/High resolution (192kHz)/Dégoût/Fort/12-D-2-5.aiff,/home/wawa_/data/wav2vecbase/Dégoût/Fort/12-D-2-5.pt,12-D-2-5.aiff,disgust,Fort,1
14,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Faible/03-C-1-6.aiff,/home/wawa_/data/wav2vecbase/Colère/Faible/03-C-1-6.pt,03-C-1-6.aiff,angry,Faible,1
15,/home/wawa_/CaFE/High resolution (192kHz)/Colère/Fort/03-C-2-1.aiff,/home/wawa_/data/wav2vecbase/Colère/Fort/03-C-2-1.pt,03-C-2-1.aiff,angry,Fort,1
16,/home/wawa_/CaFE/High resolution (192kHz)/Peur/Faible/06-P-1-3.aiff,/home/wawa_/data/wav2vecbase/Peur/Faible/06-P-1-3.pt,06-P-1-3.aiff,fear,Faible,1
