layer,accuracy
0,0.8951612903225806
1,0.8870967741935484
2,0.8951612903225806
3,0.9193548387096774
4,0.9435483870967742
5,0.9274193548387096
6,0.9435483870967742
7,0.9193548387096774
8,0.9274193548387096
9,0.9193548387096774
10,0.9032258064516129
11,0.9435483870967742
12,0.9193548387096774
13,0.9112903225806451
14,0.9435483870967742
15,0.9435483870967742
16,0.9354838709677419
17,0.9354838709677419
18,0.9193548387096774
19,0.9193548387096774
20,0.9032258064516129
21,0.8387096774193549
22,0.6129032258064516
23,0.5564516129032258
