layer,accuracy
0,0.7674418604651163
1,0.7732558139534884
2,0.7325581395348837
3,0.7906976744186046
4,0.8197674418604651
5,0.8023255813953488
6,0.75
7,0.7848837209302325
8,0.7965116279069767
9,0.7267441860465116
10,0.7790697674418605
11,0.6627906976744186
12,0.6918604651162791
13,0.6511627906976745
14,0.6686046511627907
15,0.5581395348837209
16,0.6453488372093024
17,0.5872093023255814
18,0.5755813953488372
19,0.5348837209302325
20,0.627906976744186
21,0.5523255813953488
22,0.5290697674418605
23,0.6104651162790697
