layer,accuracy
0,0.8662790697674418
1,0.8604651162790697
2,0.8837209302325582
3,0.877906976744186
4,0.877906976744186
5,0.8837209302325582
6,0.8895348837209303
7,0.8372093023255814
8,0.8604651162790697
9,0.8313953488372093
10,0.7732558139534884
11,0.8081395348837209
12,0.7674418604651163
13,0.7151162790697675
14,0.7325581395348837
15,0.7848837209302325
16,0.8488372093023255
17,0.8023255813953488
18,0.8372093023255814
19,0.8313953488372093
20,0.8255813953488372
21,0.7034883720930233
22,0.45930232558139533
23,0.37209302325581395
